Project;Risk;Stakeholder;idx
development of diesel traction using SIEMENS SCR catalyst (SINOx) for reducing pollutants in diesel-operated rail traffic. Currently undergoing field testing at DB Regio AG.,None,Deutsche Bahn AG Research and Technology Centre (FTZ)| industry partners| DB,5203
None,None,None,5204
implementing ergonomic measures in bricklaying teams,none detected,employers/work planners| foremen/bricklayers| companies,5205
None,Safety: Ensuring pipeline safety is the key to the successful implementation of the project.,"Coal mining companies: As China is the largest coal producer in the world, part of the pipeline inevitably passes through the influence range of coal mining, which seriously threatens its safe operation and causes the contradiction between coal mining and pipeline protection.",5206
Documenting and exploring how the city of New York has begun to define and implement a set of climate actions over the past half decade.,Climate change| dynamic climate risks| urban environmental risks,City government| inhabitants (residents),5207
Designing participation strategies to involve and empower children and adolescents in socio-political context| including developing target group-oriented methods| creating supportive cultures of participation| and ensuring clarity,Youth exclusion from decision-making processes (reduced to sub-projects and opportunity structures)| lack of involvement| collaboration| and commitment.,None,5208
Adopting smart speakers (intention to adopt),Privacy concerns (constantly listening microphones),Users (users' perceived usefulness and enjoyment influence the intention to adopt| while perceived privacy risks are a negative factor),5209
Zbudza deposit| self-sufficiency| Slovak Republic| salt production| European trade| mining| processing| actualize| valuation| agreement| decision,major| halite| Europe| investment| mining| processing| dimension| structure| taxation| inflation| profitability| reserve funds,investors,5210
River project| validation of numerical models| efficient design.,Obsolescence of physical observations| hubris| missing critical hydraulic issues.,Partnership between university and industry| users of the physical models| beneficiaries of cost reductions.,5211
Examining the motivations and challenges faced by landowners in creating joint efforts to resolve land disput,"Uncertainty around the formation and operation of Land Management Committees (LMCs) due to limited financial resources, unwillingness of some landowning families to support the LMCs, and interference in the work of LMCs by land sector agencies.",None,5212
"""health care campus development project""",None,,5213
Integration of groundwater vulnerability method and numerical model for predicting groundwater resource sustainability under actual and future conditions of exploitation.,Groundwater depletion| water scarcity| pollution| etc.,Government agencies| water authorities| environmental organizations| local communities| etc.,5214
None,None,None,5215
None,None,None,5216
None,None,None,5217
Community gardening,Gentrification| changes in neighborhood demographics| and perceived attitudes of local government toward different community gardens in the area.,Gardeners themselves| as well as the broader community and local government.,5218
Tie bar design at longitudinal construction joints in Portland cement concrete pavement.,Subgrade drag theory assumptions need reconsideration due to slab behavior and curling effect.,Texas Department of Transportation design standards for continuously reinforced concrete pavement| field testing team| theoretical analysis team.,5219
