beg;des;val
Environmental;residents;1
New residential development projects;residents;1
Developers;New residential development projects;1
residents;Developers;1
residents;Developers;1
residents;Developers;1
residents;Developers;0.5
Developers;residents;1
Developers;residents;1
Developers;residents;1
Developers;residents;1
policymakers;Developers;1
New residential development projects;Developers;1
environmental groups;Developers;1
New residential development projects;Developers;1
environmental groups;Developers;1
New residential development projects;Developers;1
Developers;New residential development projects;1
Developers;New residential development projects;1
Developers;environmental groups;1
Developers;New residential development projects;1
residents;Developers;1
residents;Developers;1
residents;Developers;1
residents;Developers;1
residents;Developers;1
residents;Developers;1
Developers;residents;1
Developers;residents;1
Developers;residents;1
Developers;residents;1
Developers;residents;1
Developers;residents;1
New residential development projects;Developers;1
environmental groups;Developers;1
New residential development projects;Developers;1
New residential development projects;Developers;1
Developers;New residential development projects;1
Developers;environmental groups;1
Developers;New residential development projects;1
Developers;environmental groups;1
Developers;New residential development projects;1
Developers;policymakers;1
residents;Developers;1
residents;Developers;1
residents;Developers;1
residents;Developers;1
Developers;residents;1
Developers;residents;1
Developers;residents;1
Developers;residents;1
New residential development projects;Developers;1
Developers;environmental groups;1
Developers;New residential development projects;1
Developers;Environmental;1
Developers;policymakers;1
policymakers;Developers;1
Developers;residents;1
economic;Environmental;1
Environmental;economic;1
New residential development projects;economic;1
economic;New residential development projects;1
New residential development projects;economic;1
economic;New residential development projects;1
Environmental;New residential development projects;1
New residential development projects;Environmental;1
New residential development projects;economic;1
economic;New residential development projects;1
residents;economic;0.25
economic;residents;1
residents;New residential development projects;0.25
New residential development projects;residents;1
economic;residents;1
residents;economic;1
residents;New residential development projects;1
New residential development projects;residents;1
residents;economic;0.25
economic;residents;1
Environmental;residents;1
residents;Environmental;1
residents;economic;1
economic;residents;1
residents;New residential development projects;0.25
New residential development projects;residents;1
economic;residents;1
Environmental;residents;1
residents;economic;1
residents;New residential development projects;1
residents;New residential development projects;1
New residential development projects;residents;1
New residential development projects;residents;1
economic;residents;1
residents;Environmental;1
residents;economic;1
residents;New residential development projects;1
New residential development projects;residents;1
Developers;economic;0.222222222
economic;Developers;1
Developers;residents;0.222222222
residents;Developers;0.25
economic;Developers;1
Developers;economic;1
Developers;residents;1
residents;Developers;1
Developers;New residential development projects;0.222222222
New residential development projects;Developers;1
economic;Developers;1
Developers;economic;1
Developers;New residential development projects;1
New residential development projects;Developers;1
residents;Developers;0.25
Developers;residents;0.222222222
New residential development projects;Developers;1
economic;Developers;1
Developers;New residential development projects;1
residents;Developers;1
residents;Developers;1
Developers;residents;1
Developers;residents;1
New residential development projects;Developers;1
Developers;economic;1
Developers;New residential development projects;1
residents;Developers;1
Developers;residents;1
Developers;economic;0.222222222
economic;Developers;1
Environmental;Developers;1
Developers;Environmental;1
Developers;economic;1
economic;Developers;1
Developers;New residential development projects;0.222222222
New residential development projects;Developers;1
economic;Developers;1
Environmental;Developers;1
Developers;economic;1
Developers;New residential development projects;1
Developers;New residential development projects;1
New residential development projects;Developers;1
New residential development projects;Developers;1
economic;Developers;1
Developers;Environmental;1
Developers;economic;1
Developers;New residential development projects;1
New residential development projects;Developers;1
Developers;residents;0.222222222
residents;Developers;0.25
economic;Developers;1
Environmental;Developers;1
Developers;economic;1
Developers;residents;1
Developers;residents;1
residents;Developers;1
residents;Developers;1
economic;Developers;1
Developers;Environmental;1
Developers;economic;1
Developers;residents;1
residents;Developers;1
Developers;residents;0.222222222
economic;Developers;1
residents;Developers;0.25
Environmental;Developers;1
New residential development projects;Developers;1
Developers;residents;1
Developers;New residential development projects;1
Developers;residents;1
Developers;residents;1
residents;Developers;1
economic;Developers;1
New residential development projects;Developers;1
residents;Developers;1
residents;Developers;1
New residential development projects;Developers;1
Developers;New residential development projects;1
Developers;residents;1
Developers;residents;1
Developers;New residential development projects;1
Developers;economic;1
Developers;residents;1
residents;Developers;1
residents;Developers;1
New residential development projects;Developers;1
residents;Developers;1
Developers;New residential development projects;1
Developers;Environmental;1
Developers;residents;1
Developers;economic;1
residents;Developers;1
economic;policymakers;1
policymakers;economic;0.2
Developers;economic;0.222222222
economic;Developers;1
policymakers;Developers;0.2
Developers;policymakers;1
Developers;economic;1
economic;Developers;1
residents;economic;0.25
economic;residents;1
policymakers;residents;0.2
residents;policymakers;1
residents;economic;1
economic;residents;1
Developers;residents;0.222222222
residents;Developers;0.25
economic;Developers;1
policymakers;Developers;0.2
Developers;economic;1
Developers;residents;1
Developers;residents;1
residents;Developers;1
residents;Developers;1
economic;Developers;1
Developers;policymakers;1
Developers;economic;1
Developers;residents;1
residents;Developers;1
New residential development projects;economic;1
economic;New residential development projects;1
policymakers;New residential development projects;0.2
New residential development projects;policymakers;1
New residential development projects;economic;1
economic;New residential development projects;1
New residential development projects;residents;1
residents;New residential development projects;0.25
economic;New residential development projects;1
policymakers;New residential development projects;0.2
New residential development projects;economic;1
New residential development projects;residents;1
New residential development projects;residents;1
residents;New residential development projects;1
residents;New residential development projects;1
economic;residents;1
New residential development projects;policymakers;1
New residential development projects;economic;1
New residential development projects;residents;1
residents;New residential development projects;1
Developers;New residential development projects;0.222222222
New residential development projects;Developers;1
economic;Developers;1
policymakers;Developers;0.2
Developers;economic;1
Developers;New residential development projects;1
Developers;New residential development projects;1
